doc_id,url,sha256,bytes,fetched_at_utc
L000071894026000009_a2026-q2xmda,https://www.sec.gov/Archives/edgar/data/718940/000071894026000009/a2026-q2xmda.htm,6fd29d197f80ed2fb30c29d3f492112f0b041fd95f244604ade672cd40285ab8,1761909,2026-09-24T00:52:23Z
L000095010325012168_dp234624_8k,https://www.sec.gov/Archives/edgar/data/1819989/000095010325012168/dp234624_8k.htm,6395e8f4e7b601b9f280eeac017a5fff01f6c5f530f594c171573320d47e518f,42129,2026-09-24T00:52:24Z
L000095010325012168_dp234624_ex9901,https://www.sec.gov/Archives/edgar/data/1819989/000095010325012168/dp234624_ex9901.htm,3de6007a70d8f92a8f72dcab921bbbbe8a4fcbf377f23915aa9c7ce826843e82,29787,2026-09-24T00:52:24Z
L000095010325012168_dp234624_ex9902,https://www.sec.gov/Archives/edgar/data/1819989/000095010325012168/dp234624_ex9902.htm,ba8a1852e0429bef4d071489a3bbd8784921331ec8270578af7ffae83f90f648,15622,2026-09-24T00:52:41Z
L000095010325014194_dp236870_8k-financials,https://www.sec.gov/Archives/edgar/data/1819989/000095010325014194/dp236870_8k-financials.htm,b680555a4fae86d9c6e6f7be364799c37ebf76ca1f71d118c1301221cc624510,25386,2026-09-24T00:52:42Z
L000095010325015073_dp237633_8k,https://www.sec.gov/Archives/edgar/data/1819989/000095010325015073/dp237633_8k.htm,b6866ad21486477c8d204b1449ba666a318d177d4b2c7647cabdab7781d2675f,43588,2026-09-24T00:52:42Z
L000095010325015073_dp237633_ex9901,https://www.sec.gov/Archives/edgar/data/1819989/000095010325015073/dp237633_ex9901.htm,8b82771dd08a7de4557ca4152d111ac420852bdd4122e8691f06bed8c352d4f3,25118,2026-09-24T00:52:42Z
L000095010326001480_dp240991_ex9901,https://www.sec.gov/Archives/edgar/data/1819989/000095010326001480/dp240991_ex9901.htm,507405a9e12186af4422492e452ea183daf04e1fac9cb731c094cd165fd38bff,29972,2026-09-24T00:52:42Z
L000095010326008635_dp248110_ex9901,https://www.sec.gov/Archives/edgar/data/1819989/000095010326008635/dp248110_ex9901.htm,3c4662655e5f1b3e3da4e31e0643167eeaef9880e058271d180d9e134b6b3abb,18398,2026-09-24T00:52:43Z
L000095014224002980_eh240568556_8k,https://www.sec.gov/Archives/edgar/data/1083301/000095014224002980/eh240568556_8k.htm,d2d012148ba6b6e4ff8ed56ee88eaebed0401b805f10db6f6bc5eaa6fa5119d3,24308,2026-09-24T00:52:43Z
L000095014224002999_eh240572111_ex9901,https://www.sec.gov/Archives/edgar/data/1083301/000095014224002999/eh240572111_ex9901.htm,a90020f85dc86f3b84a49432d636197ff33dc9a75e87744f57a981c57ded0140,85989,2026-09-24T00:52:44Z
L000107997326001150_ex99x1,https://www.sec.gov/Archives/edgar/data/1396536/000107997326001150/ex99x1.htm,9b7a302e4b7847f017f5a6b8c964a8811131a341ebc42678520da79cffb70727,168165,2026-09-24T00:52:44Z
L000107997326001150_ex99x2,https://www.sec.gov/Archives/edgar/data/1396536/000107997326001150/ex99x2.htm,03865c0b7fa2c769ee70f4d56d54255523b59e4dbe4cef4fd41ed8d47634137d,80673,2026-09-24T00:52:45Z
L000108330125000004_wulfopsreport-202412dec2,https://www.sec.gov/Archives/edgar/data/1083301/000108330125000004/wulfopsreport-202412dec2.htm,8e9226f54de29425e6d9c2e9b0664e3f9da46ff7936a25a1f17a256e3570d5cc,15211,2026-09-24T00:52:46Z
L000108330125000013_a_wulfformearningsrelease2,https://www.sec.gov/Archives/edgar/data/1083301/000108330125000013/a_wulfformearningsrelease2.htm,4c8592d73948fdb1512f276bf09662a7564fa7b22ca7edaddb39e81cbf925754,220422,2026-09-24T00:52:54Z
L000108330125000033_a_wulfformearningsreleas,https://www.sec.gov/Archives/edgar/data/1083301/000108330125000033/a_wulfformearningsreleas.htm,71edf27148a7fa45f23b38b4572337240b13347b7bb3d7e43947611607bdffe8,38536,2026-09-24T00:52:54Z
L000108330125000033_wulfq12025investorpresvf,https://www.sec.gov/Archives/edgar/data/1083301/000108330125000033/wulfq12025investorpresvf.htm,9bb034ebc897f7e048e3495d9e69ddbcfafbb734668fbec7e00e9a3b20ebdd3c,33236,2026-09-24T00:52:55Z
L000108330125000096_a_wulfformearningsreleaseq,https://www.sec.gov/Archives/edgar/data/1083301/000108330125000096/a_wulfformearningsreleaseq.htm,5c43611f09cb15f124756bb7986b608b699cf49ffd9dc1f7972e7ae329a1f514,218496,2026-09-24T00:52:55Z
L000108330126000162_a_wulfearningsreleaseq22026,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000162/a_wulfearningsreleaseq22026.htm,16484369f59370e0520fb3d687826e87997133d3b542be4c0c5dac71a314a1e5,229455,2026-09-24T00:52:56Z
L000110465925078084_tm2523008d2_8k,https://www.sec.gov/Archives/edgar/data/1083301/000110465925078084/tm2523008d2_8k.htm,c0ec25bc6d603951764731dfdcf80fab1e7431f344a35b56c22afe290f4f55cd,40005,2026-09-24T00:52:56Z
L000110465925078084_tm2523008d2_ex99-1,https://www.sec.gov/Archives/edgar/data/1083301/000110465925078084/tm2523008d2_ex99-1.htm,8a818584cea1f897f62386080884aba56af3d67c5c874dd7c6f1d6a3d43935ff,20217,2026-09-24T00:52:56Z
L000110465925078084_tm2523008d2_ex99-2,https://www.sec.gov/Archives/edgar/data/1083301/000110465925078084/tm2523008d2_ex99-2.htm,89ae4931eee2e00ae472a8b70f8c2fe6dbf735ce95763791497145645d8e4313,11761,2026-09-24T00:52:56Z
L000110465925079463_tm2523651d3_8k,https://www.sec.gov/Archives/edgar/data/1083301/000110465925079463/tm2523651d3_8k.htm,40773240482d8f441024a15cc643a8919082f5d1870446870c371c799237c07d,34850,2026-09-24T00:53:06Z
L000110465925079463_tm2523651d3_ex99-1,https://www.sec.gov/Archives/edgar/data/1083301/000110465925079463/tm2523651d3_ex99-1.htm,bd46d520754e2a6d1b77181035ed400f17dbcb43aa4cb662f8c2307750bee4b5,12653,2026-09-24T00:53:06Z
